2026-02-25 19:11:31.628441 43 {'chunk_seconds': 14, 'num_freqs': 3, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.5237617670258967, 'overlap': 0.7416521394731034, 'max_lag': 4} 0.72544458592135
2026-02-25 20:28:56.412808 52 {'chunk_seconds': 14, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.4510104832132751, 'overlap': 0.7229619749793204, 'max_lag': 4} 0.7284387472260931
2026-02-25 20:53:27.360600 54 {'chunk_seconds': 14, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.4486084815700765, 'overlap': 0.7655990117042265, 'max_lag': 15} 0.7390078232043876
2026-02-25 21:22:53.761600 56 {'chunk_seconds': 16, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 16, 'max_features': 0.40759356014899295, 'overlap': 0.6879258284017472, 'max_lag': 15} 0.7373390681150981
2026-02-25 21:39:28.303509 57 {'chunk_seconds': 16, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.4142088032889491, 'overlap': 0.6813056863435071, 'max_lag': 15} 0.7388165254938492
2026-02-25 22:00:54.102496 58 {'chunk_seconds': 16, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.33933874307137557, 'overlap': 0.6207210214882027, 'max_lag': 15} 0.7398926472427709
2026-02-25 22:24:04.062315 60 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.36871523122476546, 'overlap': 0.6903209305270349, 'max_lag': 14} 0.7395193433097873
2026-02-25 22:43:51.617211 61 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3703476211628641, 'overlap': 0.6735453357207174, 'max_lag': 15} 0.7426064889433044
2026-02-25 23:03:03.021259 62 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.41182864537783725, 'overlap': 0.6824103339192692, 'max_lag': 15} 0.7437957255839097
2026-02-25 23:36:40.559597 65 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.37444507531482485, 'overlap': 0.656549661871171, 'max_lag': 14} 0.7396736156299775
2026-02-26 00:17:28.536030 67 {'chunk_seconds': 17, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.37100826976940143, 'overlap': 0.56608024445417, 'max_lag': 13} 0.738385910191171
2026-02-26 00:32:26.453093 68 {'chunk_seconds': 17, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3315531751201476, 'overlap': 0.6258298770345928, 'max_lag': 13} 0.7371948440600071
2026-02-26 01:06:29.293721 71 {'chunk_seconds': 17, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.36880505313726136, 'overlap': 0.5761662935145593, 'max_lag': 15} 0.7443010149951385
2026-02-26 01:22:25.796425 72 {'chunk_seconds': 16, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.38394007799534535, 'overlap': 0.6126735336405097, 'max_lag': 15} 0.7384525753520608
2026-02-26 01:40:22.939918 73 {'chunk_seconds': 17, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.35098401848794036, 'overlap': 0.5869096073499875, 'max_lag': 15} 0.7435253074937289
2026-02-26 01:55:57.593241 74 {'chunk_seconds': 18, 'num_freqs': 11, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3446552006284389, 'overlap': 0.5735956622859099, 'max_lag': 14} 0.7385144245498338
2026-02-26 02:27:22.044499 78 {'chunk_seconds': 17, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.4690311564454724, 'overlap': 0.6216238954679794, 'max_lag': 15} 0.7429735803852536
2026-02-26 03:08:18.135064 80 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.38377306413172585, 'overlap': 0.6254519130579649, 'max_lag': 14} 0.7406573312648898
2026-02-26 03:25:40.192696 81 {'chunk_seconds': 17, 'num_freqs': 13, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.37870636854088696, 'overlap': 0.6271423431046597, 'max_lag': 14} 0.7386712349304527
2026-02-26 04:13:42.832194 84 {'chunk_seconds': 19, 'num_freqs': 16, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3898934600972708, 'overlap': 0.6358908314038317, 'max_lag': 15} 0.7455527058135463
2026-02-26 05:02:25.407265 89 {'chunk_seconds': 16, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3527416886746559, 'overlap': 0.6715112002441872, 'max_lag': 13} 0.7407817478859273
2026-02-26 05:25:30.644496 91 {'chunk_seconds': 17, 'num_freqs': 12, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3876819702906316, 'overlap': 0.6750121547397929, 'max_lag': 15} 0.7378825144647593
2026-02-26 05:45:01.781790 92 {'chunk_seconds': 16, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3561816677170042, 'overlap': 0.6580392154640918, 'max_lag': 14} 0.7398018946001
2026-02-26 06:03:53.294257 93 {'chunk_seconds': 15, 'num_freqs': 16, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.35608532489178885, 'overlap': 0.5957553012057564, 'max_lag': 15} 0.7392772474990235
2026-02-26 06:21:57.837942 94 {'chunk_seconds': 16, 'num_freqs': 14, 'num_estimators': 64, 'max_depth': 16, 'max_features': 0.3311984445278437, 'overlap': 0.6409486073646529, 'max_lag': 14} 0.7450524965197116
2026-02-26 06:52:19.025342 97 {'chunk_seconds': 16, 'num_freqs': 14, 'num_estimators': 16, 'max_depth': 16, 'max_features': 0.3986511783907378, 'overlap': 0.5462209385467929, 'max_lag': 15} 0.7223564757298746
2026-02-27 05:19:15.957234 0 {'chunk_seconds': 4, 'num_freqs': 15, 'num_estimators': 16, 'max_depth': 64, 'max_features': 0.8015722951838165, 'overlap': 0.5820599970286253, 'max_lag': 15} 0.668096921976713
2026-02-27 06:00:09.848282 1 {'chunk_seconds': 9, 'num_freqs': 11, 'num_estimators': 128, 'max_depth': 64, 'max_features': 0.9500725050363941, 'overlap': 0.5076879458544203, 'max_lag': 9} 0.6917910782111506
2026-02-27 06:56:57.062225 2 {'chunk_seconds': 13, 'num_freqs': 17, 'num_estimators': 256, 'max_depth': 32, 'max_features': 0.8046121340391865, 'overlap': 0.6590361763494774, 'max_lag': 5} 0.7145660520964573
2026-02-27 08:33:42.390095 3 {'chunk_seconds': 19, 'num_freqs': 6, 'num_estimators': 256, 'max_depth': 32, 'max_features': 0.46017809047519337, 'overlap': 0.6051291406845765, 'max_lag': 4} 0.7091823127706478
2026-02-27 08:58:04.888979 4 {'chunk_seconds': 17, 'num_freqs': 1, 'num_estimators': 256, 'max_depth': 128, 'max_features': 0.7457502706109043, 'overlap': 0.5642677103215739, 'max_lag': 7} 0.7039561230878587
2026-02-27 09:29:22.096705 5 {'chunk_seconds': 11, 'num_freqs': 1, 'num_estimators': 8, 'max_depth': 32, 'max_features': 0.9830998078461071, 'overlap': 0.635362564235272, 'max_lag': 18} 0.6814116494678112
2026-02-27 09:46:33.727957 6 {'chunk_seconds': 8, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 4, 'max_features': 0.4542186015571451, 'overlap': 0.3275202796541138, 'max_lag': 6} 0.5150254348219663
2026-02-27 09:57:13.332511 7 {'chunk_seconds': 13, 'num_freqs': 13, 'num_estimators': 16, 'max_depth': 256, 'max_features': 0.3047776137066595, 'overlap': 0.5330502173014409, 'max_lag': 4} 0.6885692168704912
2026-02-27 10:07:23.614371 8 {'chunk_seconds': 13, 'num_freqs': 15, 'num_estimators': 16, 'max_depth': 8, 'max_features': 0.7396822988666232, 'overlap': 0.405894740566839, 'max_lag': 3} 0.6320225629348791
2026-02-27 10:16:31.661534 9 {'chunk_seconds': 19, 'num_freqs': 11, 'num_estimators': 32, 'max_depth': 64, 'max_features': 0.3817462541460298, 'overlap': 0.795276675328449, 'max_lag': 16} 0.711316482435862
2026-02-27 15:17:06.735228 11 {'chunk_seconds': 16, 'num_freqs': 19, 'num_estimators': 32, 'max_depth': 64, 'max_features': 0.6020562433006849, 'overlap': 0.7959320250565182, 'max_lag': 15} 0.7053176443758852
2026-02-27 15:48:53.211512 12 {'chunk_seconds': 20, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32, 'max_features': 0.3187601238586537, 'overlap': 0.7054985159430669, 'max_lag': 20} 0.7160038592304354
