,resistance,voltage,current,time,pre_rect,post_rect,labels
21505,6,250,DC,215.05,0.41748046875,7.879638671875,L
21506,6,250,DC,215.06,0.41015625,7.880859375,L
21507,6,250,DC,215.07,0.418701171875,7.882080078125,L
21508,6,250,DC,215.08,0.440673828125,7.880859375,L
21509,6,250,DC,215.09,0.465087890625,7.882080078125,L
21510,6,250,DC,215.1,0.482177734375,7.882080078125,L
21511,6,250,DC,215.11,0.48828125,7.88330078125,L
21512,6,250,DC,215.12,0.47607421875,7.882080078125,L
21513,6,250,DC,215.13,0.4541015625,7.882080078125,L
21514,6,250,DC,215.14000000000001,0.4296875,7.882080078125,L
21515,6,250,DC,215.15,0.413818359375,7.880859375,L
21516,6,250,DC,215.16,0.41259765625,7.882080078125,L
21517,6,250,DC,215.17000000000002,0.4248046875,7.882080078125,L
21518,6,250,DC,215.18,0.447998046875,7.88330078125,L
21519,6,250,DC,215.19,0.469970703125,7.88330078125,L
21520,6,250,DC,215.20000000000002,0.4833984375,7.880859375,L
21521,6,250,DC,215.21,0.479736328125,7.879638671875,L
21522,6,250,DC,215.22,0.465087890625,7.87841796875,L
21523,6,250,DC,215.23000000000002,0.43701171875,7.877197265625,L
21524,6,250,DC,215.24,0.416259765625,7.877197265625,L
21525,6,250,DC,215.25,0.40283203125,7.8759765625,L
21526,6,250,DC,215.26,0.411376953125,7.877197265625,L
21527,6,250,DC,215.27,0.42724609375,7.8759765625,L
21528,6,250,DC,215.28,0.4541015625,7.87841796875,L
21529,6,250,DC,215.29,0.469970703125,7.874755859375,L
21530,6,250,DC,215.3,0.477294921875,7.87353515625,L
21531,6,250,DC,215.31,0.47119140625,7.874755859375,L
21532,6,250,DC,215.32,0.452880859375,7.874755859375,L
21533,6,250,DC,215.33,0.42724609375,7.87353515625,L
21534,6,250,DC,215.34,0.411376953125,7.8759765625,L
21535,6,250,DC,215.35,0.406494140625,7.877197265625,L
21536,6,250,DC,215.36,0.41748046875,7.877197265625,L
21537,6,250,DC,215.37,0.438232421875,7.877197265625,L
21538,6,250,DC,215.38,0.46630859375,7.877197265625,L
21539,6,250,DC,215.39000000000001,0.482177734375,7.877197265625,L
21540,6,250,DC,215.4,0.484619140625,7.880859375,L
21541,6,250,DC,215.41,0.4736328125,7.880859375,L
21542,6,250,DC,215.42000000000002,0.450439453125,7.879638671875,L
21543,6,250,DC,215.43,0.42724609375,7.880859375,L
21544,6,250,DC,215.44,0.41015625,7.880859375,L
21545,6,250,DC,215.45000000000002,0.41259765625,7.879638671875,L
21546,6,250,DC,215.46,0.42724609375,7.879638671875,L
21547,6,250,DC,215.47,0.450439453125,7.880859375,L
21548,6,250,DC,215.48000000000002,0.47119140625,7.879638671875,L
21549,6,250,DC,215.49,0.484619140625,7.880859375,L
21550,6,250,DC,215.5,0.478515625,7.879638671875,L
21551,6,250,DC,215.51,0.462646484375,7.880859375,L
21552,6,250,DC,215.52,0.435791015625,7.877197265625,L
21553,6,250,DC,215.53,0.416259765625,7.8759765625,L
21554,6,250,DC,215.54,0.406494140625,7.8759765625,L
21555,6,250,DC,215.55,0.41259765625,7.8759765625,L
21556,6,250,DC,215.56,0.4296875,7.8759765625,L
21557,6,250,DC,215.57,0.455322265625,7.8759765625,L
21558,6,250,DC,215.58,0.472412109375,7.8759765625,L
21559,6,250,DC,215.59,0.48095703125,7.8759765625,L
21560,6,250,DC,215.6,0.46875,7.874755859375,L
21561,6,250,DC,215.61,0.447998046875,7.87353515625,L
21562,6,250,DC,215.62,0.4248046875,7.872314453125,L
21563,6,250,DC,215.63,0.406494140625,7.87109375,L
21564,6,250,DC,215.64000000000001,0.39794921875,7.87109375,L
