2025-11-14 07:04:32.858104 56 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 2, 'subwindow_freq': 6, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4653802264589235
2025-11-14 07:07:54.856467 57 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 11, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47949583757511643
2025-11-14 07:12:53.377840 58 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 11, 'use_window_slope': True, 'use_subwindow_slope': False} 0.46962271292247154
2025-11-14 07:15:56.521785 59 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 3, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4687221651008286
2025-11-14 07:20:09.789027 60 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4750340972671599
2025-11-14 07:31:06.880411 61 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4760551818862868
2025-11-14 07:42:04.884023 62 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47299858194809247
2025-11-14 07:53:01.544243 63 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 2, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.46984522385297134
2025-11-14 07:56:27.849018 64 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4805070811186858
2025-11-14 08:06:08.032512 65 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4668568135905847
2025-11-14 08:11:46.277736 66 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47622544923188254
2025-11-14 08:21:19.101261 67 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4799752485129589
2025-11-14 08:26:12.542110 68 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 4, 'use_window_slope': True, 'use_subwindow_slope': False} 0.47203863410501995
2025-11-14 08:29:10.173063 69 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 1, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.39661828218191214
2025-11-14 08:31:46.502483 70 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 64, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 12, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47331414426051205
2025-11-14 08:36:28.282420 71 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 2, 'subwindow_freq': 9, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4678073816029145
2025-11-14 08:43:09.635586 72 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 3, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.45271820267587937
2025-11-14 08:51:17.087181 73 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 128, 'window_seconds': 8, 'num_subwindows': 6, 'subwindow_freq': 6, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4688356230500852
