2025-11-15 08:07:42.156266 45 {'augment_factor': 4, 'chunk_seconds': 0.41774195236497125, 'num_freqs': 20, 'num_estimators': 314, 'learning_rate': 0.04882654371216984, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'subsample': 0.6272558332688203, 'window_seconds': 5} 0.4344170810604831
2025-11-15 08:46:17.916154 46 {'augment_factor': 1, 'chunk_seconds': 0.0604444249741779, 'num_freqs': 20, 'num_estimators': 364, 'learning_rate': 0.06541484095609301, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 7, 'subsample': 0.6257404393438917, 'window_seconds': 5} 0.4304257848783177
2025-11-15 13:57:40.444113 47 {'augment_factor': 1, 'chunk_seconds': 0.06310273357636824, 'num_freqs': 20, 'num_estimators': 360, 'learning_rate': 0.14168485350106771, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 5, 'subsample': 0.6295080627193465, 'window_seconds': 5} 0.4263899583305588
2025-11-15 19:06:14.766397 48 {'augment_factor': 1, 'chunk_seconds': 0.027629902538917228, 'num_freqs': 20, 'num_estimators': 356, 'learning_rate': 0.14620045240376436, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 5, 'subsample': 0.633493027952838, 'window_seconds': 5} 0.4099008995612126
2025-11-21 10:40:51.048699 0 {'augment_factor': 2, 'chunk_seconds': 0.10275497290085239, 'num_freqs': 8, 'num_estimators': 331, 'learning_rate': 0.17322465025801992, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 10, 'subsample': 0.8997171866852991, 'window_seconds': 5} 0.42328322221585957
2025-11-21 12:28:19.544014 1 {'augment_factor': 1, 'chunk_seconds': 1.2914785546354497, 'num_freqs': 7, 'num_estimators': 395, 'learning_rate': 0.08653225797775028, 'max_depth': 5, 'min_samples_split': 11, 'min_samples_leaf': 3, 'subsample': 0.8304735698207281, 'window_seconds': 5} 0.40996209274297096
2025-11-21 12:41:09.524211 2 {'augment_factor': 2, 'chunk_seconds': 0.4096376201593606, 'num_freqs': 12, 'num_estimators': 498, 'learning_rate': 0.0384465399346765, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 8, 'subsample': 0.7537283487964805, 'window_seconds': 3} 0.4155425550477719
2025-11-21 14:07:04.850845 3 {'augment_factor': 1, 'chunk_seconds': 1.9379400539863572, 'num_freqs': 20, 'num_estimators': 130, 'learning_rate': 0.0417773390009835, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 1, 'subsample': 0.9950746521441354, 'window_seconds': 4} 0.40317444633899097
2025-11-21 14:13:43.268830 4 {'augment_factor': 1, 'chunk_seconds': 0.35185321509480155, 'num_freqs': 18, 'num_estimators': 119, 'learning_rate': 0.019864520183245058, 'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 3, 'subsample': 0.9902398189429267, 'window_seconds': 4} 0.4194400146005896
2025-11-21 14:54:34.229865 5 {'augment_factor': 4, 'chunk_seconds': 0.9317352285154679, 'num_freqs': 10, 'num_estimators': 61, 'learning_rate': 0.07042848368686619, 'max_depth': 4, 'min_samples_split': 9, 'min_samples_leaf': 6, 'subsample': 0.9105426712482343, 'window_seconds': 2} 0.41146454180635406
