2025-10-31 08:02:39.030171 50 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 50, 'learning_rate': 0.07120863140625078, 'max_depth': 5, 'min_samples_split': 9, 'min_samples_leaf': 10, 'subsample': 0.8040177571586714, 'window_seconds': 4} 0.4127081388913724
2025-10-31 08:06:36.386453 51 {'augment_factor': 1, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 50, 'learning_rate': 0.048125476918542416, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 4, 'subsample': 0.9730067323820079, 'window_seconds': 4} 0.41536618548808063
2025-10-31 08:10:57.701060 52 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 300, 'learning_rate': 0.05781158474498334, 'max_depth': 6, 'min_samples_split': 16, 'min_samples_leaf': 5, 'subsample': 0.9076503116518169, 'window_seconds': 4} 0.41983538666845527
2025-10-31 08:28:21.708157 53 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 300, 'learning_rate': 0.05877303315262147, 'max_depth': 5, 'min_samples_split': 14, 'min_samples_leaf': 3, 'subsample': 0.8728803741492835, 'window_seconds': 4} 0.4195275814978509
2025-10-31 08:42:16.581810 54 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 300, 'learning_rate': 0.11506499580152203, 'max_depth': 6, 'min_samples_split': 16, 'min_samples_leaf': 2, 'subsample': 0.8715682447440258, 'window_seconds': 4} 0.40238453030171367
2025-10-31 08:58:31.425529 55 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 300, 'learning_rate': 0.08241695659002987, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 2, 'subsample': 0.9373447601730602, 'window_seconds': 4} 0.41115248867575543
2025-10-31 09:15:14.079539 56 {'augment_factor': 2, 'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 300, 'learning_rate': 0.051653748927093845, 'max_depth': 3, 'min_samples_split': 13, 'min_samples_leaf': 3, 'subsample': 0.9536883966105494, 'window_seconds': 5} 0.4097178990070273
2025-10-31 09:18:31.034551 57 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 7, 'num_estimators': 300, 'learning_rate': 0.07236317934658189, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 4, 'subsample': 0.912557779910788, 'window_seconds': 4} 0.4156625518470168
2025-10-31 09:32:32.074986 58 {'augment_factor': 2, 'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 300, 'learning_rate': 0.06167063014179609, 'max_depth': 6, 'min_samples_split': 14, 'min_samples_leaf': 5, 'subsample': 0.8927909620464262, 'window_seconds': 4} 0.40308346893385183
2025-10-31 09:40:51.014883 59 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 300, 'learning_rate': 0.09721544017249552, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 1, 'subsample': 0.9249552672447263, 'window_seconds': 4} 0.40402983366102196
2025-10-31 09:55:58.079324 60 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 300, 'learning_rate': 0.03696248094289932, 'max_depth': 6, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.8530123869002031, 'window_seconds': 4} 0.4227954370555098
2025-10-31 10:11:54.140832 61 {'augment_factor': 2, 'chunk_seconds': 1, 'num_freqs': 8, 'num_estimators': 300, 'learning_rate': 0.04580197206132096, 'max_depth': 6, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.8550213036241723, 'window_seconds': 4} 0.4209892825824045
